Venue,Date,Day of Week,Event/Artist Name,Genre,Promoter Code,Promoter Name,Tickets Sold,Venue Capacity,Capacity Rate,Gross Ticket Revenue,Avg Ticket Price (incl. TW rebate),Bar Revenue,Avg Alcohol $/Guest,Band(s) Guarantee,% of Gross Ticket Revenue,Gate Settlement Gain/(Loss),Show Gross Proceeds,Source Year (file),Source File,Data Notes,Date_parsed
Majestic Theatre,2019-02-15,2019-02-15 00:00:00,Space Jesus (1),Electronic/Dance,,,1100.0,1100.0,1.0,34369.0,31.24454545454546,11658.7,10.59881818181818,15500.0,0.450987808781169,7689.752310239999,19348.45231024,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-02-15
Majestic Theatre,2019-02-19,2019-02-19 00:00:00,Kurt Vile,Rock,,,814.0,1100.0,0.74,26731.0,32.83906633906634,10123.62,12.43687960687961,20750.0,0.776252291347125,-380.12,9743.5,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-02-19
Magic Stick,2019-02-22,2019-02-22 00:00:00,Omega moos,Electronic/Dance,5.0,Paxahau - Tom Pattyn,734.0,700.0,1.048571428571428,13853.5,18.87397820163488,9304.0,12.67574931880109,10150.0,0.7326668350958242,1014.45,10318.45,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-02-22
Majestic Theatre,2019-02-23,2019-02-23 00:00:00,Yung Gravy,Hip-Hop/R&B,,,1100.0,1100.0,1.0,37283.0,33.89363636363636,3341.27,3.037518181818182,13556.69,0.3636158570930451,13305.32,16646.59,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-02-23
Magic Stick,2019-02-23,2019-02-23 00:00:00,Desert Hearts,Electronic/Dance,5.0,Paxahau - Tom Pattyn,806.0,700.0,1.151428571428572,20546.0,25.49131513647643,17568.0,21.79652605459057,9525.0,0.4635938868879587,4143.68,21711.68,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-02-23
Majestic Theatre,2019-02-28,2019-02-28 00:00:00,Cold Cave,Rock,,,224.0,1000.0,0.224,5844.0,26.08928571428572,4204.03,18.76799107142857,4350.0,0.74435318275154,-3860.62,343.4099999999989,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-02-28
Majestic Theatre,2019-03-01,2019-03-01 00:00:00,Jacob Banks,Hip-Hop/R&B,,,397.0,1000.0,0.397,12868.0,32.41309823677582,4903.83,12.35221662468514,7500.0,0.5828411563568542,-994.08,3909.75,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-03-01
Majestic Theatre,2019-03-08,2019-03-08 00:00:00,Wet,Rock,,,177.0,1000.0,0.177,6505.5,36.75423728813559,1960.3,11.07514124293785,12750.0,1.959880101452617,-10669.96,-8709.66,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-03-08
Magic Stick,2019-03-08,2019-03-08 00:00:00,Marco Carola,Electronic/Dance,5.0,Paxahau - Tom Pattyn,510.0,700.0,0.7285714285714285,16440.0,32.23529411764706,17184.0,33.69411764705882,18500.0,1.125304136253041,-7036.43,10147.57,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-03-08
Magic Stick,2019-03-09,2019-03-09 00:00:00,Charlesthefirst,Electronic/Dance,5.0,Paxahau - Tom Pattyn,800.0,800.0,1.0,14620.0,18.275,12599.0,15.74875,8100.0,0.5540355677154583,1590.67,14189.67,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-03-09
Majestic Theatre,2019-03-13,2019-03-13 00:00:00,Jonathan McReynolds,Jazz/Blues/Soul,,,447.0,1000.0,0.447,18410.0,41.18568232662192,223.0,0.4988814317673378,8000.0,0.4345464421510049,-821.52,-598.52,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-03-13
Majestic Theatre,2019-03-15,2019-03-15 00:00:00,Arkells,Rock,,,1100.0,1100.0,1.0,27622.0,25.11090909090909,12845.26,11.67750909090909,9434.76,0.3415668669900804,10248.1,23093.36,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-03-15
Magic Stick,2019-03-23,2019-03-23 00:00:00,Desert Dwellers,Electronic/Dance,8.0,Further Frequencies,753.0,700.0,1.075714285714286,19105.0,25.37184594953519,10559.0,14.02257636122178,6050.0,0.3166710285265637,10383.67,20942.67,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-03-23
Majestic Theatre,2019-03-23,2019-03-23 00:00:00,Big Wild (1),Electronic/Dance,,,1100.0,1100.0,1.0,28174.0,25.61272727272728,13163.96,11.96723636363636,11980.74,0.4252410023425853,6343.12032354,19507.08032354,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-03-23
Magic Stick,2019-03-29,2019-03-29 00:00:00,Charlotte de Witte,Electronic/Dance,5.0,Paxahau - Tom Pattyn,846.0,800.0,1.0575,21440.0,25.34278959810875,16341.0,19.31560283687943,10700.0,0.4990671641791044,5607.96,21948.96,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-03-29
Majestic Theatre,2019-03-29,2019-03-29 00:00:00,Sunsquabi (1),Electronic/Dance,,,484.0,1000.0,0.484,11243.5,23.23037190082645,7293.28,15.06876033057851,6400.0,0.5692177702672655,-814.0658526,6479.214147399999,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-03-29
Magic Stick,2019-03-30,2019-03-30 00:00:00,The True Blue [RENTAL],Rock,6.0,Rental event,,,,,,2361.0,,,,-120.0,2241.0,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-03-30
Majestic Theatre,2019-04-03,2019-04-03 00:00:00,Failure,Rock,,,303.0,1100.0,0.2754545454545454,11740.0,38.74587458745874,4399.89,14.52108910891089,15000.0,1.277683134582624,-9327.55,-4927.659999999999,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-04-03
Majestic Theatre,2019-04-04,2019-04-04 00:00:00,Nils Frahm,Electronic/Dance,,,272.0,1100.0,0.2472727272727272,9684.0,35.60294117647059,2241.55,8.240992647058825,16000.0,1.652209830648492,-12042.67,-9801.12,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-04-04
Magic Stick,2019-04-05,2019-04-05 00:00:00,Droeloe,Electronic/Dance,2.0,React co-pro,736.0,700.0,1.051428571428571,14230.0,19.33423913043478,9681.0,13.15353260869565,6152.7,0.4323752635277582,1320.98,11001.98,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-04-05
Majestic Theatre,2019-04-06,2019-04-06 00:00:00,Manic Focus (1),Electronic/Dance,,,402.0,1100.0,0.3654545454545455,9729.5,24.20273631840796,7276.94,18.1018407960199,7000.0,0.7194614317282492,-2002.71133062,5274.228669379999,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-04-06
Majestic Theatre,2019-04-13,2019-04-13 00:00:00,The Driver Era,Pop,,,598.0,1100.0,0.5436363636363636,25609.5,42.8252508361204,2327.56,3.892240802675585,12750.0,0.4978621214783576,-349.51,1978.05,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-04-13
Magic Stick,2019-04-13,2019-04-13 00:00:00,Crankdat,Electronic/Dance,2.0,React co-pro,442.0,700.0,0.6314285714285715,9066.0,20.51131221719457,7513.5,16.99886877828054,4575.0,0.5046326935804103,-571.79,6941.71,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-04-13
Majestic Theatre,2019-04-14,2019-04-14 00:00:00,Adam Conover [GUARANTEED],Comedy/Other,,,,,,,,1430.64,,,,0.0,1430.64,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-04-14
Majestic Theatre,2019-04-16,2019-04-16 00:00:00,Swmrs,Rock,,,367.0,1000.0,0.367,9083.0,24.74931880108992,1685.73,4.593269754768392,7500.0,0.825718374986238,-3464.68,-1778.95,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-04-16
Majestic Theatre,2019-04-18,2019-04-18 00:00:00,Sunn O))) [GUARANTEED],Metal/Hard Rock,,,,,,,,3274.82,,,,0.0,3274.82,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-04-18
Magic Stick,2019-04-19,2019-04-19 00:00:00,Esseks,Electronic/Dance,8.0,Further Frequencies,462.0,700.0,0.66,7541.0,16.32251082251082,7542.5,16.32575757575757,5000.0,0.6630420368651373,3430.92,10973.42,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-04-19
Majestic Theatre,2019-04-20,2019-04-20 00:00:00,Jai Wolf (1),Electronic/Dance,,,1100.0,1100.0,1.0,27840.0,25.30909090909091,13062.2,11.87472727272727,12318.93,0.4424903017241379,5084.621582039999,18146.82158204,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-04-20
Majestic Theatre,2019-04-22,2019-04-22 00:00:00,Neko Case,Rock,,,674.0,1100.0,0.6127272727272727,24059.5,35.69658753709199,6679.44,9.91014836795252,19000.0,0.7897088468172655,-1867.24,4812.199999999999,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-04-22
Majestic Theatre,2019-04-25,2019-04-25 00:00:00,Bad Suns,Rock,,,689.0,1100.0,0.6263636363636363,19549.5,28.37373004354136,3714.44,5.391059506531205,15400.0,0.7877439320698739,-2116.45,1597.99,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-04-25
Magic Stick,2019-04-26,2019-04-26 00:00:00,CloZee,Electronic/Dance,2.0,React co-pro,800.0,800.0,1.0,27047.0,33.80875,14724.0,18.405,12190.5,0.4507154213036566,4239.720000000001,18963.72,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-04-26
Majestic Theatre,2019-04-27,2019-04-27 00:00:00,Claypool Lennon Delerium   ,Rock,,,1100.0,1100.0,1.0,50826.0,46.20545454545454,14217.94,12.9254,15500.0,0.3049620273088577,13945.74,28163.68,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-04-27
Majestic Theatre,2019-04-28,2019-04-28 00:00:00,Ann Marie,Hip-Hop/R&B,,,257.0,1000.0,0.257,9478.0,36.87937743190661,1363.61,5.305875486381322,3900.0,0.4114792150242667,-2032.41,-668.8000000000004,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-04-28
Majestic Theatre,2019-05-03,2019-05-03 00:00:00,Turnover,Rock,,,914.0,1100.0,0.8309090909090909,28549.5,31.23577680525164,9555.76,10.45487964989059,17500.0,0.6129704548240775,3622.75,13178.51,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-05-03
Magic Stick,2019-05-04,2019-05-04 00:00:00,Freddy Todd,Electronic/Dance,2.0,React co-pro,436.0,700.0,0.6228571428571429,8460.0,19.40366972477064,5650.0,12.95871559633028,4550.0,0.5378250591016549,-2461.48,3188.52,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-05-04
Magic Stick,2019-05-09,2019-05-09 00:00:00,Cursive/Mewithoutyou,Rock,1.0,Magic Stick in-house,401.0,700.0,0.5728571428571428,11236.0,28.01995012468828,4843.0,12.07730673316708,8500.0,0.7564969740121039,-50.71,4792.29,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-05-09
Majestic Theatre,2019-05-09,2019-05-09 00:00:00,Higher Brothers,Hip-Hop/R&B,,,194.0,1000.0,0.194,8312.5,42.84793814432989,1412.04,7.278556701030928,10500.0,1.263157894736842,-10415.5,-9003.46,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-05-09
Majestic Theatre,2019-05-11,2019-05-11 00:00:00,Andy Black,Rock,,,358.0,1100.0,0.3254545454545454,11466.5,32.02932960893855,1403.19,3.919525139664805,12150.0,1.059608424541054,-8341.48,-6938.289999999999,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-05-11
Majestic Theatre,2019-05-15,2019-05-15 00:00:00,Gretchen Rubin,Comedy/Other,,,337.0,400.0,0.8425,16489.0,48.92878338278932,1249.94,3.709020771513353,4419.37,0.2680192855843289,5448.47,6698.41,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-05-15
Majestic Theatre,2019-05-16,2019-05-16 00:00:00,FKJ (1),Electronic/Dance,,,1100.0,1100.0,1.0,30495.0,27.72272727272728,13512.85,12.28440909090909,13506.58,0.4429112969339236,6448.9268844,19961.7768844,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-05-16
Majestic Theatre,2019-05-17,2019-05-17 00:00:00,Movements,Rock,,,654.0,1100.0,0.5945454545454546,17853.5,27.29892966360856,6010.96,9.191070336391435,12000.0,0.6721371159716583,928.94,6939.9,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-05-17
Magic Stick,2019-05-18,2019-05-18 00:00:00,Riverside,Rock,1.0,Magic Stick in-house,267.0,700.0,0.3814285714285714,7096.75,26.57958801498127,2405.0,9.00749063670412,5000.0,0.7045478564131469,-409.25,1995.75,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-05-18
Magic Stick,2019-05-22,2019-05-22 00:00:00,Snow Tha Product,Hip-Hop/R&B,4.0,Good Show - Jason Berry,637.0,700.0,0.91,16427.0,25.78806907378336,9143.0,14.35321821036107,6829.16,0.4157277652645035,6103.47,15246.47,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-05-22
Majestic Theatre,2019-05-23,2019-05-23 00:00:00,Josh Ritter,Rock,,,376.0,700.0,0.5371428571428571,20529.0,54.59840425531915,3595.4,9.562234042553191,10700.0,0.5212138925422573,-306.5599999999977,3288.840000000002,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-05-23
Majestic Theatre,2019-05-24,2019-05-24 00:00:00,Architects,Metal/Hard Rock,,,1062.0,1100.0,0.9654545454545456,37289.0,35.1120527306968,11878.48,11.18500941619586,20000.0,0.5363512027675722,8534.980000000003,20413.46,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-05-24
Magic Stick,2019-05-24,2019-05-24 00:00:00,Walker And Royce,Electronic/Dance,5.0,Paxahau - Tom Pattyn,829.0,800.0,1.03625,24387.5,29.41797346200241,22313.5,26.916164053076,11725.0,0.4807790876473603,5411.33,27724.83,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-05-24
Majestic Theatre,2019-05-25,2019-05-25 00:00:00,Local Natives,Rock,,,975.0,1100.0,0.8863636363636364,34714.5,35.60461538461539,11836.7,12.14020512820513,23000.0,0.6625473505307581,4144.530000000002,15981.23,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-05-25
Magic Stick,2019-05-25,2019-05-25 00:00:00,Detroit Love,Electronic/Dance,5.0,Paxahau - Tom Pattyn,844.0,800.0,1.055,31245.5,37.0207345971564,15188.5,17.99585308056872,15000.0,0.4800691299547134,9483.94,24672.44,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-05-25
Majestic Theatre,2019-05-26,2019-05-26 00:00:00,Basement,Rock,,,224.0,1000.0,0.224,5351.0,23.88839285714286,1954.47,8.7253125,8000.0,1.495047654643992,-7771.41,-5816.940000000001,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-05-26
Magic Stick,2019-05-26,2019-05-26 00:00:00,Origins,Metal/Hard Rock,5.0,Paxahau - Tom Pattyn,823.0,800.0,1.02875,29160.5,35.43195625759417,13424.5,16.31166464155529,12000.0,0.4115155775792596,10680.97,24105.47,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-05-26
Majestic Theatre,2019-05-27,2019-05-27 00:00:00,Chromatics,Electronic/Dance,,,407.0,1000.0,0.407,12665.5,31.11916461916461,3846.65,9.4512285012285,9450.0,0.7461213532825391,-2512.56,1334.09,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-05-27
Magic Stick,2019-05-27,2019-05-27 00:00:00,Repopulate Mars,Electronic/Dance,5.0,Paxahau - Tom Pattyn,919.0,800.0,1.14875,33122.0,36.04134929270947,14128.5,15.37377584330794,12500.0,0.3773926695247871,13403.32,27531.82,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-05-27
Majestic Theatre,2019-05-29,2019-05-29 00:00:00,Aly & AJ,Pop,,,610.0,1000.0,0.61,23024.5,37.74508196721312,3634.1,5.957540983606557,12400.0,0.5385567547612325,616.57,4250.67,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-05-29
Magic Stick,2019-06-01,2019-06-01 00:00:00,Goopsteppa [partial free tixs],Electronic/Dance,8.0,Further Frequencies,252.0,800.0,0.315,2162.5,8.581349206349206,3595.0,14.26587301587302,1675.0,0.7745664739884393,-1164.66,2430.34,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-06-01
Majestic Theatre,2019-06-04,2019-06-04 00:00:00,The Strumbellas,Rock,,,646.0,1100.0,0.5872727272727273,20182.0,31.24148606811146,7715.76,11.94390092879257,15500.0,0.7680110989991081,-1060.74,6655.02,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-06-04
Majestic Theatre,2019-06-09,2019-06-09 00:00:00,Josh Garrels,Rock,,,506.0,1100.0,0.46,16336.5,32.28557312252964,1801.56,3.560395256916996,6697.9,0.4099960211795672,4354.21,6155.77,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-06-09
Majestic Theatre,2019-06-13,2019-06-13 00:00:00,Tank and the Bangas,Jazz/Blues/Soul,,,636.0,1100.0,0.5781818181818181,16363.0,25.72798742138365,5675.97,8.924481132075472,15000.0,0.9167023162011856,-4177.18,1498.79,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-06-13
Majestic Theatre,2019-06-15,2019-06-15 00:00:00,Citizen,Rock,,,594.0,1100.0,0.54,17509.5,29.47727272727273,5160.11,8.687053872053871,12000.0,0.6853422427824895,-551.97,4608.139999999999,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-06-15
Magic Stick,2019-06-15,2019-06-15 00:00:00,If Walls Could Talk [band rental],Rock,5.0,Paxahau - Tom Pattyn,286.0,600.0,0.4766666666666667,780.0,2.727272727272727,2748.0,9.608391608391608,0.0,0.0,-383.0,2365.0,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-06-15
Majestic Theatre,2019-06-21,2019-06-21 00:00:00,lovelytheband,Pop,,,589.0,1100.0,0.5354545454545454,18608.5,31.59337860780985,4829.49,8.199473684210526,9350.0,0.5024585538866647,686.48,5515.969999999999,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-06-21
Majestic Theatre,2019-06-22,2019-06-22 00:00:00,Feed Me (1),Electronic/Dance,,,474.0,1100.0,0.4309090909090909,13860.5,29.2415611814346,5530.14,11.66696202531646,14000.0,1.010064571985138,-4231.906243475999,1298.233756524001,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-06-22
Majestic Theatre,2019-06-23,2019-06-23 00:00:00,Wine and Crime (podcast),Comedy/Other,,,196.0,400.0,0.49,7478.5,38.15561224489796,2329.4,11.88469387755102,2000.0,0.2674333088186134,573.34,2902.74,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-06-23
Majestic Theatre,2019-06-27,2019-06-27 00:00:00,Chon,Rock,,,357.0,1100.0,0.3245454545454545,9332.0,26.14005602240896,3005.81,8.419635854341736,15000.0,1.607372481783112,-10721.1,-7715.290000000001,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-06-27
Magic Stick,2019-07-13,2019-07-13 00:00:00,Dub Down,Electronic/Dance,1.0,Magic Stick in-house,329.0,700.0,0.47,6575.0,19.98480243161094,5856.0,17.79939209726444,4650.0,0.7072243346007605,-1431.28,4424.72,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-07-13
Majestic Theatre,2019-07-19,2019-07-19 00:00:00,Dussepalooza,Comedy/Other,,,682.0,1100.0,0.62,33137.0,48.58797653958944,6094.73,8.936554252199413,12260.6,0.3699972840027763,9761.53,15856.26,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-07-19
Majestic Theatre,2019-07-20,2019-07-20 00:00:00,Baroness,Metal/Hard Rock,,,547.0,1100.0,0.4972727272727272,17827.5,32.59140767824497,7129.38,13.03360146252285,8000.0,0.448744916561492,2867.77,9997.15,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-07-20
Magic Stick,2019-07-25,2019-07-25 00:00:00,Louis Prima Jr.,Jazz/Blues/Soul,3.0,Black Iris,46.0,700.0,0.0657142857142857,1118.5,24.31521739130435,317.9,6.910869565217391,1500.0,1.341081805990166,-2073.41,-1755.51,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-07-25
Magic Stick,2019-07-26,2019-07-26 00:00:00,Stick to your Guns,Metal/Hard Rock,3.0,Black Iris,439.0,700.0,0.6271428571428571,9392.0,21.39407744874715,4401.0,10.0250569476082,7000.0,0.7453151618398637,-873.6300000000001,3527.37,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-07-26
Magic Stick,2019-07-27,2019-07-27 00:00:00,Zebbler Encanti Experience,Electronic/Dance,8.0,Further Frequencies,249.0,700.0,0.3557142857142857,5006.25,20.10542168674699,2976.0,11.95180722891566,2900.0,0.5792759051186017,-359.2,2616.8,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-07-27
Magic Stick,2019-08-03,2019-08-03 00:00:00,Mr. Bill,Electronic/Dance,8.0,Further Frequencies,306.0,700.0,0.4371428571428571,5794.25,18.93545751633987,4634.0,15.1437908496732,4400.0,0.7593735168485999,-1326.82,3307.18,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-08-03
Magic Stick,2019-08-09,2019-08-09 00:00:00,Solardo,Electronic/Dance,5.0,Paxahau - Tom Pattyn,373.0,700.0,0.5328571428571428,7918.5,21.22922252010724,8868.0,23.77479892761394,5450.0,0.6882616657195176,-1515.91,7352.09,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-08-09
Magic Stick,2019-08-16,2019-08-16 00:00:00,Why?,Hip-Hop/R&B,1.0,Magic Stick in-house,156.0,700.0,0.2228571428571428,3329.5,21.34294871794872,1971.0,12.63461538461538,4850.0,1.456675176452921,-3924.69,-1953.69,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-08-16
Majestic Theatre,2019-08-23,2019-08-23 00:00:00,This Might Get Weird (podcast),Comedy/Other,,,404.0,418.0,0.9665071770334928,19707.86,48.78183168316832,2991.41,7.404480198019802,5631.22,0.2857347271596205,8467.51,11458.92,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-08-23
Magic Stick,2019-08-28,2019-08-28 00:00:00,Polo G,Hip-Hop/R&B,2.0,React co-pro,593.0,800.0,0.74125,22382.75,37.74494097807757,1593.0,2.686340640809444,11500.0,0.5137885201773688,567.1999999999998,2160.2,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-08-28
Magic Stick,2019-08-30,2019-08-30 00:00:00,Jessica Hernandez & The Deltas,Rock,3.0,Black Iris,261.0,600.0,0.435,4671.0,17.89655172413793,4031.0,15.44444444444444,5050.0,1.081138942410619,-2665.01,1365.99,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-08-30
Magic Stick,2019-09-05,2019-09-05 00:00:00,Golden Features,Electronic/Dance,2.0,React co-pro,44.0,700.0,0.0628571428571428,587.5,13.35227272727273,580.0,13.18181818181818,1200.0,2.042553191489361,-1911.52,-1331.52,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-09-05
Magic Stick,2019-09-07,2019-09-07 00:00:00,BoomBox,Electronic/Dance,2.0,React co-pro,591.0,850.0,0.6952941176470588,14479.5,24.5,13713.0,23.20304568527919,10750.0,0.7424289512759419,-994.47,12718.53,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-09-07
Majestic Theatre,2019-09-08,2019-09-08 00:00:00,The Growlers,Rock,,,560.0,1118.0,0.5008944543828264,19533.5,34.88125,5174.86,9.240821428571428,20000.0,1.02388204878798,-6279.42,-1104.56,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-09-08
Majestic Theatre,2019-09-09,2019-09-09 00:00:00,Pinegrove,Rock,,,706.0,1118.0,0.631484794275492,17500.0,24.78753541076487,7353.89,10.41627478753541,12500.0,0.7142857142857143,-935.42,6418.469999999999,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-09-09
Majestic Theatre,2019-09-12,2019-09-12 00:00:00,Twin Peaks,Rock,,,267.0,1100.0,0.2427272727272727,7262.0,27.19850187265917,2497.76,9.3549063670412,3110.92,0.4283833654640595,-1006.96,1490.8,2019,2019_show_results___metrics_2019_11_12_19.xlsx,,2019-09-12
